autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Srećković Sanja,1993,Sopot,drugi,Ekonomsko-trgovinske škole,Sopot,ANT,9,2010,Uzroci kineskih migracija u Sopot: studija slučaja,pdf/2010/68-58.pdf
Stević Jovana,1991,Kostolac,četvrti,Srednja medicinska škola,Požarevac,ANT,8,2010,Analiza procesa konstruisanja mentalnih bolesti na psihijatrijskom odeljenju požarevačke bolnice,pdf/2010/68-59.pdf
Škobić Milan,1991,Beograd,četvrti,VIII beogradska gimnazija,Beograd,ANT,8,2010,Autoritet koji to nije: odnosi moći I simbolički kapital na časovima istorije u jednoj beogradskoj gimnaziji,pdf/2010/68-60.pdf
Jakovljević Isidora,1993,Beograd,drugi,IX beogradska gimnazija,Beograd,ANT,8,2010,"Analiza balkanizujućih diskursa u romanu ""U balkanskim gudurama"" Karla Maja",pdf/2010/68-61.pdf
Bačić Iva,1992,Subotica,četvrti,"Gimnazija ""Svetozar Marković""",Subotica,ANT,7,2010,Koncept etna na Etnofestu: analiza značenja etno muzike na subotičkom festivalu Etnofest,pdf/2010/68-62.pdf
Jakšić Tijana,1992,Bačka Topola,treći,Gimnazija,Bačka Topola,ANT,7,2010,Koncept etna na Etnofestu: analiza značenja etno muzike na subotičkom festivalu Etnofest,pdf/2010/68-62.pdf
Kostić Milana,1992,Zrenjanin,treći,Gimnazija,Zrenjanin,ARH,17,2010,Skordističke ratničke sahrane sa kremacijom,pdf/2010/68-63.pdf
Ivanović Ilija,1991,Golubac,četvrti,Srednja škola,Veliko Gradište,ARH,10,2010,Novac provincije Bitinije na teritoriji Gornje Mezije,pdf/2010/68-64.pdf
Radević Isidora,1993,Vrbas,drugi,Gimnazija,Vrbas,ARH,8,2010,Analitička obrada novca Faustine II sa područja limesa u današnjoj Srbiji,pdf/2010/68-65.pdf
Trnavac Vuk,1993,Novi Sad,drugi,"Gimnazija ""Svetozar Marković""",Novi Sad,ARH,8,2010,Analitička obrada novca Faustine II sa područja limesa u današnjoj Srbiji,pdf/2010/68-65.pdf
Glavonjić Stefan,1991,Beograd,četvrti,III beogradska gimnazija,Beograd,ARH,9,2010,Arhitektura I ekonomičnost rimskih kupatila sa teritorija Srbije I Makedonije,pdf/2010/68-66.pdf
Radomirović Kristina,1993,Raška,drugi,Gimnazija,Karlovci,ARH,9,2010,Ornamentalna analiza lula turskog tipa Šabačke tvrđave I teritorije Beograda,pdf/2010/68-67.pdf
Milojković Anica,1992,Smederevo,četvrti,Gimnazija,Smederevo,IST,8,2010,Istorija SARTID-a od 1918. do 1929. godine,pdf/2010/68-68.pdf
Milovanović Jovana,1992,Rača,drugi,"Srednja škola ""Đura Jakšić""",Rača,IST,7,2010,Državna mešovita nepotpuna gimnazija (1945-1950),pdf/2010/68-69.pdf
Bojičić Lazar,1992,Smederevo,treći,Gimnazija,Smederevo,LIN,9,2010,Uticaj prozodijskog sistema srpskog jezika na fenomen takete-maluma,pdf/2010/68-70.pdf
Janković Anja,1992,Niš,treći,"Gimnazija ""Svetozar Marković""",Niš,LIN,2,2010,Razlike u akustičkim osobinama francuskih nazalnih vokala /ã/ i /õ/ izme|u u~enika francuskog jezika i izvornog govornika,pdf/2010/68-71.pdf
Nedeljković Brankica,1992,Trstenik,treći,Gimnazija,Trstenik,LIN,7,2010,Generacijske razlike u deklinaciji zamenica u selu Sropanja kod Trstenika,pdf/2010/68-72.pdf
Golubović Ana,1992,Valjevo,treći,Valjevska gimnazija,Valjevo,LIN,11,2010,Leksički odnosi sinonimije I antonimije u asocijativnom polju imenica I prideva,pdf/2010/68-73.pdf
Đurić Simona,1993,Novi Sad,drugi,"Gimnazija ""Svetozar Marković""",Novi Sad,LIN,6,2010,Procena teksta naučnoistraživačkog rada u zavisnosti od naučnog obrazovanja srednjoškolaca I eksponenta autorovog prisustva u tekstu rada,pdf/2010/68-74.pdf
Trutin Dunja,1991,Beograd,četvrti,III beogradska gimnazija,Beograd,PSH,13,2010,Crtaj kako govoriš,pdf/2010/68-75.pdf
Šušterčić Tihana,1993,Kragujevac,drugi,I kragujevačka gimnazija,Kragujevac,PSH,17,2010,Ispitivanje stavova I socijalne distance mladih prema osobama sa invaliditetom,pdf/2010/68-76.pdf
Stojković Ana,1992,Velika Plana,treći,Gimnazija,Velika Plana,PSH,17,2010,Ispitivanje stavova I socijalne distance mladih prema osobama sa invaliditetom,pdf/2010/68-76.pdf
Todorović Milica,1993,Vrdnik,treći,Gimnazija,Karlovci,PSH,7,2010,"Isptivanje povezanosti između stilova afektivne vezanosti, saradljivosti I načina rešavanja konflikta",pdf/2010/68-77.pdf
Zeljković Ivana,1993,Martinci,treći,Gimnazija,Karlovci,PSH,7,2010,"Isptivanje povezanosti između stilova afektivne vezanosti, saradljivosti I načina rešavanja konflikta",pdf/2010/68-77.pdf
Božić Đorđe,1994,Beograd,drugi,V beogradska gimnazija,Beograd,PSH,7,2010,"Isptivanje povezanosti između stilova afektivne vezanosti, saradljivosti I načina rešavanja konflikta",pdf/2010/68-77.pdf
Spasojević Petra,1991,Kruševac,četvrti,Gimnazija,Kruševac,PSH,8,2010,Uticaj konkretnosti na mentalnu eksploraciju izmišljenih mapa sa slikovnim I verbalnim materijalom,pdf/2010/68-78.pdf
Atnautović Ana,1993,Beograd,drugi,IX beogradska gimnazija,Beograd,PSH,8,2010,Uticaj konkretnosti na mentalnu eksploraciju izmišljenih mapa sa slikovnim I verbalnim materijalom,pdf/2010/68-78.pdf
Stanisavljević Milica,1992,Novi Sad,treći,"Gimnazija ""Isidora Sekulić""",Novi Sad,PSH,8,2010,Uticaj simetrične socijalne interakcije na razvoj čitalačke pismenosti,pdf/2010/68-79.pdf
Panić Elena,1993,Beograd,drugi,V beogradska gimnazija,Beograd,PSH,8,2010,Uticaj simetrične socijalne interakcije na razvoj čitalačke pismenosti,pdf/2010/68-79.pdf
Marinković Milena,1994,Beograd,prvi,III beogradska gimnazija,Beograd,PSH,8,2010,Uticaj simetrične socijalne interakcije na razvoj čitalačke pismenosti,pdf/2010/68-79.pdf
Stijović Ana,1993,Beograd,četvrti,III beogradska gimnazija,Beograd,PSH,6,2010,Ispitivanje povezanosti apstraktnih vizuelnih sklopova I fonoloških struktura pomoćmu testa implicitnih asocijacija,pdf/2010/68-80.pdf
Zlatanović Anja,1992,Bačka Topola,četvrti,TehnoArt,Beograd,PSH,6,2010,Ispitivanje povezanosti apstraktnih vizuelnih sklopova I fonoloških struktura pomoćmu testa implicitnih asocijacija,pdf/2010/68-80.pdf
Janković Milana,1993,Ruma,drugi,Gimnazija,Ruma,PSH,6,2010,Estetski efekat položaja mladeža na licu,pdf/2010/68-81.pdf
Pantelić Olivera,1992,Sonta,treći,Gimnazija,Apatin,PSH,6,2010,Estetski efekat položaja mladeža na licu,pdf/2010/68-81.pdf
Đurica Đorđe,1993,Gajdobra,drugi,"Elektrotehnička škola ""Mihajlo Pupin""",Novi Sad,PSH,6,2010,Opažanje sile: mit ili stvarnost?,pdf/2010/68-82.pdf
Lukić Miloš,1992,Beograd,treći,Matematička gimnazija,Beograd,PSH,6,2010,Opažanje sile: mit ili stvarnost?,pdf/2010/68-82.pdf
Nikolić Danijela,1993,Beograd,treći,Filološka gimnazija,Beograd,PSH,6,2010,Opažanje sile: mit ili stvarnost?,pdf/2010/68-82.pdf
Janković Nikola,1991,Beograd,četvrti,X beogradska gimnazija,Beograd,PSH,8,2010,Audiovizuelni sporazum,pdf/2010/68-83.pdf
Savić Popović Teodora,1992,Subotica,drugi,"Gimnazija ""Svetozar Marković""",Subotica,PSH,1,2010,Šta je bitnije za estetski doživljaj: boja ili položaj?,pdf/2010/68-84.pdf
Vukadinović Dušan,1994,Niš,drugi,"Gimnazija ""Svetozar Marković""",Niš,AST,10,2011,Metaličnost zvezda sa ekstrasolarnim planetama,pdf/2011/69-1.pdf
Marković Sava,1993,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,AST,14,2011,Metode ubrzavanja svemirskih letilica,pdf/2011/69-2.pdf
Šarković Vanja,1994,Beograd,treći,Matematička gimnazija,Beograd,AST,1,2011,Analiza termalne evolucije molekulskih oblaka I stabilnosti jedinjenja unutar njih,pdf/2011/69-3.pdf
Cekić Mario,1993,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,FIZ,10,2011,Isplati li se trčati po kiši?,pdf/2011/69-4.pdf
Bukva Aleksandar,1994,Kikinda,drugi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,FIZ,10,2011,Isplati li se trčati po kiši?,pdf/2011/69-4.pdf
Kuzmanović Marko,1992,Beograd,treći,Matematička gimnazija,Beograd,FIZ,14,2011,Simulacija radijalne segregacije upotrebom celularnih automata,pdf/2011/69-5.pdf
Đorđević Teodora,1994,Niš,drugi,"Gimnazija ""Svetozar Marković""",Niš,FIZ,5,2011,Formiranje sabirnih sočiva od kapljica vode i glicerina,pdf/2011/69-6.pdf
Petrović Marija,1994,Požega,drugi,Gimnazija,Požega,FIZ,5,2011,Formiranje sabirnih sočiva od kapljica vode i glicerina,pdf/2011/69-6.pdf
Kustura Katja,1992,Kutina (HR),,XV gimnazija,Zagreb,FIZ,1,2011,Determining Melting Temperature and Polarization Angle of Gelatin,pdf/2011/69-7.pdf
Pale Una,1992,Zagreb (HR),,XV gimnazija,Zagreb,FIZ,1,2011,Determining Melting Temperature and Polarization Angle of Gelatin,pdf/2011/69-7.pdf
Kosanović Danica,1993,Beograd,četvrti,I beogradska gimnazija,Beograd,MAT,25,2011,Sinteza L-sistema,pdf/2011/69-8.pdf
Jovičić Kristina,1994,Smedervska Palanka,drugi,Gimnazija,Smederevska Palanka,MAT,25,2011,Sinteza L-sistema,pdf/2011/69-8.pdf
Asanović Tanja,1994,Ruma,drugi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,MAT,25,2011,Sinteza L-sistema,pdf/2011/69-8.pdf
Nedić Ana-Marija,1993,Kucura,treći,Gimnazija,Vrbas,MAT,15,2011,Zmija u kutiji,pdf/2011/69-9.pdf
Lalić Maksim,1994,Kać,drugi,Vojna gimnazija,Beograd,MAT,15,2011,Zmija u kutiji,pdf/2011/69-9.pdf
Đorđić Jovana,1993,Majur (Šabac),treći,Matematička gimnazija,Beograd,MAT,15,2011,Zmija u kutiji,pdf/2011/69-9.pdf
Bojić Branko,1993,Kula,,"STŠ ""Mihajlo Pupin""",Kula,MAT,1,2011,Matematička igra: klijanje,pdf/2011/69-10.pdf
Mladenović Anđela,1994,Beograd,drugi,Matematička gimnazija,Beograd,MAT,1,2011,Matematička igra: klijanje,pdf/2011/69-10.pdf
Đorđević Bogdan,1993,Leskovac,,"Gimnazija ""Svetozar Marković""",Niš,MAT,1,2011,Reprezentovanje grupe pletenica rotacijama,pdf/2011/69-11.pdf
Krivokuća Tamara,1995,Odžaci,prvi,Gimnazija,Odžaci,MAT,1,2011,Reprezentovanje grupe pletenica rotacijama,pdf/2011/69-11.pdf
Nerandžić Aleksandra,1992,Kraljevo,treći,Gimnazija,Kraljevo,MAT,1,2011,Matematička igra: Pravljenje Hamiltonovog ciklusa na kompletnom grafu,pdf/2011/69-12.pdf
Radojević Anja,1992,Bačka Topola,četvrti,Računarska gimnazija,Beograd,MAT,1,2011,Matematička igra: Pravljenje Hamiltonovog ciklusa na kompletnom grafu,pdf/2011/69-12.pdf
Dašić Damjan,1993,Beograd,treći,Računarska gimnazija,Beograd,PFE,10,2011,Sistem za stabilizaciju loptice na pokretnoj ploči,pdf/2011/69-13.pdf
Krsmanović Stefan,1992,Loznica,četvrti,Tehnička škola,Loznica,PFE,17,2011,Balansirajući robot,pdf/2011/69-14.pdf
Polovina Vladimir,1994,Kikinda,treći,Tehnička škola,Kikinda,PFE,17,2011,Balansirajući robot,pdf/2011/69-14.pdf
Ranković Vladimir,1992,Beograd,četvrti,Matematička gimnazija,Beograd,PFE,6,2011,Lokalizacija robota pomoću optičkog senzora,pdf/2011/69-15.pdf
Timotić Lazar,1992,Badovinci,četvrti,Tehnička škola,Šabac,PFE,6,2011,Lokalizacija robota pomoću optičkog senzora,pdf/2011/69-15.pdf
Stojanović Miloš,1993,Beograd,treći,IX beogradska gimnazija,Beograd,PFE,7,2011,Primena skrivenog Markovljevog modela u prepoznavanju znakovnog jezika,pdf/2011/69-16.pdf
Todorčević Natalija,1994,Kragujevac,drugi,I kragujevačka gimnazija,Kragujevac,PFE,8,2011,Statistički pristup detekciji lica i lokalizacija karakterističnih tačaka lica,pdf/2011/69-17.pdf
Silađi Daniel,1995,Novi Sad,prvi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,RAČ,5,2011,Genetski algoritmi i Problem trgovačkog putnika,pdf/2011/69-18.pdf
Makarić Vladimir,1993,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,RAČ,17,2011,Istraživanje nepoznatog terena,pdf/2011/69-19.pdf
Miličić Stefan,1993,Jagodina,treći,Računarska gimnazija,Beograd,RAČ,4,2011,Skeniranje 3D objekata metodom triangulacije lasera,pdf/2011/69-20.pdf
Atanacković Iva,1993,Beograd,treći,"Gimnazija ""Sveti Sava""",Beograd,BIO,20,2011,"Uticaj aminoglikozidnih antibiotika na rast, produkciju biosurfaktanata i biodegradaciju dizela kod Pseudomonas sp. i Pseudomonas Stutzeri",pdf/2011/69-21.pdf
Vukojičić Nevena,1993,Beograd,četvrti,VI beogradska gimnazija,Beograd,BIO,16,2011,Prilog poznavanju diverziteta i ekologije makromiceta Medvednika i Jablanika,pdf/2011/69-22.pdf
Atanacković Iva,1993,Beograd,treći,"Gimnazija ""Sveti Sava""",Beograd,BIO,9,2011,Fraktalni rast soka Pseudomonas sp. Na podlogama sa različitim koncentracijama glukoze i prostornim rasporedima kolonija,pdf/2011/69-23.pdf
Biočanin Marjan,1991,Beograd,prvi,Biološki fakultet,Beograd,BIO,9,2011,Fraktalni rast soka Pseudomonas sp. Na podlogama sa različitim koncentracijama glukoze i prostornim rasporedima kolonija,pdf/2011/69-23.pdf
Moskovljević Milica,1993,Beograd,treći,I beogradska gimnazija,Beograd,BIO,6,2011,Ispitivanje uticaja biocida i atrazina na bakterije roda Azotobacter izolovane iz zemljišta u okolini Istraživačke stanice Petnice,pdf/2011/69-24.pdf
Radojčić Ana,1993,Beograd,četvrti,Matematička gimnazija,Beograd,BIO,6,2011,"Ispitivanje uticaja vodenih ekstrakata ambrozije (Ambrosia artemisiifolia) i njivske lubeničarke (Hibiscus trionum) na klijanje semena, rast nadzemnog dela klice i sadržaj fotosintetičkih pigmenata kod pšenice (Triticum aestivum)",pdf/2011/69-25.pdf
Radišić Vanja,1995,Arilje,drugi,"SŠ ""Sveti Ahilije""",Arilje,BMD,11,2011,Ispitivanje antioksidantne aktivnosti i biodostupnosti in vitro digestovanog propolisa,pdf/2011/69-26.pdf
Ilić-Đurić Karla,1993,Zrenjanin,treći,Medicinska škola,Zrenjanin,BMD,9,2011,Sinteza i ispitivanje uticaja derivata kvercetina i stearinske kiseline na oksidativni stres na modelu laboratorijskog miša (Mus musculus),pdf/2011/69-28.pdf
Ilić Filip,1993,Beograd,treći,XIII beogradska gimnazija,Beograd,BMD,11,2011,Prisustvo PKS gena u bakterijskoj populaciji Petničkog jezera,pdf/2011/69-29.pdf
Radivojević Božidar,1992,Beograd,prvi,Matematički fakultet,Beograd,BMD,13,2011,Filogenetska karakterizacija bakterijskih populacija jezera Pocibrava otpornih na teške metale,pdf/2011/69-30.pdf
Vujković Ivana,1993,Palić,treći,Gimnazija,Subotica,BMD,5,2011,Ispitivanje delovanja tinkture i alkaloida iz gaveza (Symphytum officinale L:) na koagulaciju krvi,pdf/2011/69-31.pdf
Ritopečki Luka,1994,Deliblato,drugi,Medicinska škola,Pančevo,BMD,5,2011,Ispitivanje delovanja tinkture i alkaloida iz gaveza (Symphytum officinale L:) na koagulaciju krvi,pdf/2011/69-31.pdf
Petronijević Ana,1995,Beograd,prvi,III beogradska gimnazija,Beograd,BMD,6,2011,Antioksidativni efekat ekstrakta semenki crnog i belog grožđa u homogenatu tkiva jetre,pdf/2011/69-32.pdf
Rajšić Andrea,1994,Sopot,drugi,Gimnazija,Mladenovac,GLG,5,2011,Kvartarna fauna Risovačke pećine kod Aranđelovca,pdf/2011/69-33.pdf
Spasojević Ljiljana,1993,Novi Sad,četvrti,"Gimnazija ""Isidora Sekulić""",Novi Sad,GLG,6,2011,Hidrohemijske karakteristike podzemnih voda Fruške gore,pdf/2011/69-34.pdf
Kljajić Nikola,1992,Užice,četvrti,Medicinska škola,Užice,GLG,6,2011,Hidrohemijske karakteristike podzemnih voda Fruške gore,pdf/2011/69-34.pdf
Vlajnić Marina,1992,Baranda,četvrti,Medicinska škola,Beograd,GLG,6,2011,Antimonitsko-cinbaritska mineralizacija Rebeljske reke,pdf/2011/69-35.pdf
Vujinović Aleksa,1992,Zemun,četvrti,"Geološka I hidrometeorološka škola ""Milutin Milanković""",Beograd,GLG,6,2011,Antimonitsko-cinbaritska mineralizacija Rebeljske reke,pdf/2011/69-35.pdf
Asanović Igor,1992,Ruma,četvrti,Medicinska škola,Sremska Mitrovica,HEM,12,2011,Inkapsulacija peroksidaze cvekle (Beta vulgaris L.) kao model zaštite enzima od inhibitornog uticaja teških metala,pdf/2011/69-36.pdf
Pavlović Radoslav,1994,Kragujevac,drugi,Medicinska škola,Kragujevac,HEM,9,2011,Adsorpcija Cr(VI) iz vodenih rastvora na piljevini belog bora (Pinus silvestris L.) kao biosorbenta,pdf/2011/69-37.pdf
Kornjača Milan,1993,Hrtkovci,treći,Gimnazija,Sremska Mitrovica,HEM,16,2011,"In vitro ispitivanje mogućnosti primene fenol crvenog, L-askorbinske kiseline, L-cisteina i galne kiseline solarnih ćelija na bazi antocijana i hlorofila",pdf/2011/69-38.pdf
Novaković Mihajlo,1993,Leskovac,treći,Gimnazija,Leskovac,HEM,7,2011,Ispitivanje uticaja aktivatora na kinetičku metodu za određivanje vanadijuma (V),pdf/2011/69-39.pdf
Kuntić Marina,1993,Beograd,treći,XII beogradska gimnazija,Beograd,HEM,7,2011,Ispitivanje uticaja aktivatora na kinetičku metodu za određivanje vanadijuma (V),pdf/2011/69-39.pdf
Ćorović Miljan,1993,,treći,Gimnazija,Vrbas,HEM,4,2011,"Ispitivanje katalitičkog dejstva ZnO, SnO2 i njihovih kompozitnih smeša na fotokatalitičku degradaciju boje oranž II",pdf/2011/69-40.pdf
Diklić Nataša,1994,Apatin,drugi,Gimnazija,Apatin,HEM,7,2011,Određivanje osobina i antioksidativne aktivnosti ekstrakata lista leske,pdf/2011/69-41.pdf
Arsić Natalija,1994,Beograd,drugi,I beogradska gimnazija,Beograd,HEM,7,2011,Određivanje osobina i antioksidativne aktivnosti ekstrakata lista leske,pdf/2011/69-41.pdf
Kostić Marko,1992,Obrenovac,četvrti,Poljoprivredno-hemijska škola,Obrenovac,HEM,1,2011,Ispitivanje uticaja temperature sušenja elektroda na kapacitet punjivih litijum-jonskih bakterija,pdf/2011/69-42.pdf
Fako Edvin,1992,Vršac,četvrti,Hemijsko-medicinska škola,Vršac,HEM,1,2011,Ispitivanje uticaja temperature sušenja elektroda na kapacitet punjivih litijum-jonskih bakterija,pdf/2011/69-42.pdf
Milosav Đorđe,,Kikinda,drugi,"Srednja stručna škola ""Miloš Crnjanski""",Kikinda,ANT,10,2011,"Sukobe nema ako zabave ima: ritualna praksa u Bujanovcu, studija slučaja multietničkog projekta",pdf/2011/69-43.pdf
Jugović Spajić Damjan,1992,Beograd,četvrti,VI beogradska gimnazija,Beograd,ANT,11,2011,"""For the Horde"": Ispitivanje osećaja frakcijske pripadnosti u igri Word of Warcraft",pdf/2011/69-44.pdf
Srećković Sanja,1993,Sopot,treći,Ekonomsko-trgovinske škole,Sopot,ANT,6,2011,Transnacionalizam u Sopotu: studija slučaja,pdf/2011/69-45.pdf
Dukić Ivana,1993,Kraljevo,treći,Ekonomsko-trgovinske škole,Kraljevo,ANT,6,2011,Navijanje kao praksa banalnog nacionalizma: Svetsko prvenstvo u fudbalu u Južnoj Africi 2010. godine,pdf/2011/69-46.pdf
Dragišić Neda,1994,Kladovo,drugi,Srednja škola,Kladovo,ARH,15,2011,"Aspekti poštovanje Kibelinog i Atisovog kulta na teritoriji gornje Mezije, Donje Panonije i istočne Dalmacije",pdf/2011/69-47.pdf
Macanović Ana,1994,Beograd,treći,"Gimnazija ""Ruđer Bošković""",Beograd,ARH,15,2011,"Aspekti poštovanje Kibelinog i Atisovog kulta na teritoriji gornje Mezije, Donje Panonije i istočne Dalmacije",pdf/2011/69-47.pdf
Dimitrijević Ivana,1994,,drugi,Gimnazija,Zaječar,ARH,15,2011,Motivi krokodila na antičkim mozaicima,pdf/2011/69-48.pdf
Savić Milan,1993,"selo Pepeljevac, Kuršumlija",treći,Gimnazija,Kuršumlija,ARH,15,2011,Motivi krokodila na antičkim mozaicima,pdf/2011/69-48.pdf
Avdić Ivan,1994,Kragujevac,drugi,II kragujevačka gimnazija,Kragujevac,ARH,8,2011,Kamene grobne konstrukcije u okolini Valjeva,pdf/2011/69-49.pdf
Marković Dimitrije,1993,Kruševac,treći,Gimnazija,Kruševac,ARH,8,2011,Kamene grobne konstrukcije u okolini Valjeva,pdf/2011/69-49.pdf
Murganić Ana,1993,Kruševac,treći,Gimnazija,Kruševac,ARH,8,2011,Kamene grobne konstrukcije u okolini Valjeva,pdf/2011/69-49.pdf
Slijepčević Ružica,1995,Zrenjanin,drugi,Gimnazija,Karlovci,ARH,7,2011,Analiza nadgrobnih spomenika sa seoskog groblja u Robajama,pdf/2011/69-50.pdf
Stanojević Đurđa,1995,Svilajnac,treći,Srednja škola,Svilajnac,ARH,7,2011,Analiza nadgrobnih spomenika sa seoskog groblja u Robajama,pdf/2011/69-50.pdf
Grumić Tijana,1993,Stara Pazova,treći,Gimnazija,Stara Pazova,ARH,7,2011,Provera uticaja vremenskog intervala pečenja u zatvorenom sistemu na neolitskim figurinama kosovske varijante,pdf/2011/69-51.pdf
Samardžić Siniša,1995,Palić,drugi,Tehnička škola,Subotica,IST,8,2011,"Baron Lajoš Vermeš, lokalni heroj",pdf/2011/69-52.pdf
Đorović Fedor,1992,Beograd,treći,Filološka gimnazija,Beograd,IST,7,2011,Mačevanje u Beogradu u periodu od 1960. do 1980. godine,pdf/2011/69-53.pdf
Milosavljević Stefan,1993,Lebane,treći,Gimnazija,Lebane,LIN,13,2011,Prenošenje akcenta prizrensko-timočkog dijalekta na teritoriji Lebana u čitanom tekstu pod uticajem pripadnosti teksta različitim sferama komunikacije i generacijskih razlika,pdf/2011/69-54.pdf
Todorović Snežana,1992,Beograd,četvrti,IX beogradska gimnazija,Beograd,LIN,9,2011,Izgovor srpskog vokala /o/ kod govornika arapskog jezika iz Palestine i govornika engleskog jezika iz Dominike,pdf/2011/69-55.pdf
Kuzmanović Jelena,1992,Gornji Milanovac,četvrti,Filološka gimnazija,Beograd,LIN,21,2011,Spontano usvajanje srpskog jezika od strane izvornih govornika kineskog: analiza gramatičkih kategorija,pdf/2011/69-56.pdf
Šušterčić Tihana,1993,Kragujevac,treći,I kragujevačka gimnazija,Kragujevac,PSH,17,2011,Ispitivanje razvojnog procesa spacijalnih sposobnosti rešavanjem zadataka sa 2D i projekcijom 3D geometrijskih figura,pdf/2011/69-57.pdf
Đurica Đorđe,1993,Gajdobra,treći,"Elektrotehnička škola ""Mihajlo Pupin""",Novi Sad,PSH,10,2011,Razlike u prepoznavanju bioloških pokreta kod ljudi,pdf/2011/69-58.pdf
Kostić Milana,1992,Zrenjanin,četvrti,Gimnazija,Zrenjanin,PSH,7,2011,Uticaj prethodnog znanja i iskustva na opažanje rigidnosti amodalnog objekta,pdf/2011/69-59.pdf
Žegarac Jelena,1994,Jarkovac,treći,Gimnazija,Sečanj,PSH,6,2011,Uticaj promene ugaone deklinacije na procenu daljine,pdf/2011/69-60.pdf
Stojadinović Mirjana,1994,Paraćin,treći,Gimnazija,Paraćin,PSH,6,2011,Uticaj promene ugaone deklinacije na procenu daljine,pdf/2011/69-60.pdf
Novković Vera,1994,Beograd,drugi,XII beogradska gimnazija,Beograd,PSH,6,2011,Efekat valence i pobuđenosti na estetsku preferenciju u tadatku adektivnog primoravanja,pdf/2011/69-61.pdf
Todorović Milica,1993,Novi Sad,četvrti,Gimnazija,Karlovci,PSH,2,2011,Povezanost porodičnog statusa i prijateljske afektivne vezanosti kod adolescenata,pdf/2011/69-62.pdf
Zagoričik Simona,1995,Beograd,prvi,Filološka gimnazija,Beograd,PSH,2,2011,Doživljaj različitih aspekata lepog,pdf/2011/69-63.pdf
Radovanović Kristina,1993,Beograd,treći,XIII beogradska gimnazija,Beograd,PSH,2,2011,Doživljaj različitih aspekata lepog,pdf/2011/69-63.pdf
Marinković Milena,1994,Beograd,treći,III beogradska gimnazija,Beograd,PSH,2,2011,Sociometrijski status viktimiziranih učenika i siledžija,pdf/2011/69-64.pdf
Majić Boris,1995,Valjevo,treći,Valjevska gimnazija,Valjevo,AST,13,2012,Određivanje parametara ekstrasolarnih planeta iz krive sjaja tranzita,pdf/2012/70-1.pdf
Vukadinović Dušan,1994,Niš,treći,"Gimnazija ""Svetozar Marković""",Niš,AST,5,2012,Teorijska analiza profila spektralnih linija formiranih u nestatičnoj atmosferi,pdf/2012/70-2.pdf
Šarković Vanja,1994,Beograd,četvrti,Matematička gimnazija,Beograd,AST,5,2012,Teorijska analiza profila spektralnih linija formiranih u nestatičnoj atmosferi,pdf/2012/70-2.pdf
Bogdanović Ana,1995,Loznica,drugi,"Gimnazija ""Vuk Karadžić""",Loznica,AST,5,2012,Analitički model spiralne galaksije: evolucija disperzije brzina globularnih jata,pdf/2012/70-3.pdf
Rajić Maga,1995,Pazin (Hrvatska),treći,"Gimnazija I strukovna škola ""Jurij Dobril""",Pazin,AST,5,2012,Analitički model spiralne galaksije: evolucija disperzije brzina globularnih jata,pdf/2012/70-3.pdf
Stojanović Nikola,1995,Beli Manastir (Hrvatska),treći,Gimnazija,Beli Manastir,AST,8,2012,Modelovanje refrakcije svetlosti u atmosferi Venere prilikom tranzita,pdf/2012/70-4.pdf
Petrović Marija,1994,Požega,treći,"Gimnazija ""Sveti Sava""",Požega,FIZ,13,2012,Strukturna karakterizacija dvodimenzionalnih granularnih sistema u uslovima izmenjene efektivne gravitacije,pdf/2012/70-5.pdf
Stanisavljević Ognjen,1995,Požega,drugi,"Gimnazija ""Sveti Sava""",Požega,FIZ,13,2012,Strukturna karakterizacija dvodimenzionalnih granularnih sistema u uslovima izmenjene efektivne gravitacije,pdf/2012/70-5.pdf
Jakovljević Isidora,1993,Beograd,četvrti,IX beogradska gimnazija,Beograd,FIZ,8,2012,Uticaj isparavanja na pojavu Mpemba efekta,pdf/2012/70-6.pdf
Šukurma Zoran,1995,Brod,drugi,"Srednja škola ""Nikola Tesla""",Brod,FIZ,8,2012,Uticaj isparavanja na pojavu Mpemba efekta,pdf/2012/70-6.pdf
Bukva Aleksandar,1994,Kikinda,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,FIZ,11,2012,Metod pronalaženja Hamiltonijana za datu svojstvenu funkciju primenjen na Loflinovu talasnu funkciju,pdf/2012/70-7.pdf
Bogojević Sara,1995,Beograd,drugi,Matematička gimnazija,Beograd,FIZ,11,2012,Analiza finansijskih kriza korišćenjem zakona skaliranja kao osnove analogije finansijskih tržišta sa fizičkim sistemima,pdf/2012/70-8.pdf
Kabić Marko,1993,Novi Sad,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,FIZ,11,2012,Analiza finansijskih kriza korišćenjem zakona skaliranja kao osnove analogije finansijskih tržišta sa fizičkim sistemima,pdf/2012/70-8.pdf
