autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Đošović Vladimir,,,,,,AST,4,2014,Klimatske promene na Marsu,pdf/2014/AST1406.pdf
Ćupurdija Ana,,,,,,AST,1,2014,"Određivanje temperatura zvezda glavnog niza O, B i A klase pomoću odnosa dubina spektralnih linija",pdf/2014/AST1407.pdf
Pantelić Kristina,,,,,,AST,2,2014,Određivanje osnovnih parametara globularnog jata Terzan 7,pdf/2014/AST1408.pdf
Milić Damnjan,,,,,,AST,2,2014,Određivanje osnovnih parametara globularnog jata Terzan 7,pdf/2014/AST1408.pdf
Čapko Teodora,,,,,,AST,2,2014,Modelovanje rotirajućih belih patuljaka pomoću Čandrasekar-Milneovog razvoja,pdf/2014/AST1409.pdf
Bužuta Filip,,,,,,AST,2,2014,Modelovanje rotirajućih belih patuljaka pomoću Čandrasekar-Milneovog razvoja,pdf/2014/AST1409.pdf
Petrović Jovan,,,,,,BIO,11,2014,Biodiverzitet paukova (Araneae) u okolini Valjeva,pdf/2014/BIO1401.pdf
Aleksić Milica,,,,,,BIO,9,2014,Fiziološki odgovor pšenice (Triticum aestivum L.) na povišenu koncentraciju kadmijuma i NaCl u podlozi,pdf/2014/BIO1402.pdf
Cvetković Anđelija,,,,,,BIO,8,2014,Izolacija i karakterizacija multirezistentnih bakterijskih sojeva iz Kolubare i Petničkog jezera,pdf/2014/BIO1403.pdf
Jovanović Ivana,,,,,,BIO,8,2014,Izolacija i karakterizacija multirezistentnih bakterijskih sojeva iz Kolubare i Petničkog jezera,pdf/2014/BIO1403.pdf
Šajkunić Sanja,,,,,,BIO,6,2014,Komparativna analiza diverziteta makromiceta hrastovo-grabovih i grabovih šuma Petnice i Avale,pdf/2014/BIO1404.pdf
Ješić Milica,,,,,,BIO,8,2014,Usvajanje teških metala kod rogoza (Typha latifolia L.) i podvodne resine (Ceratophyllum demersum L.) u Petničkom jezeru,pdf/2014/BIO1405.pdf
Milosavljević Silvija,,,,,,BIO,8,2014,Usvajanje teških metala kod rogoza (Typha latifolia L.) i podvodne resine (Ceratophyllum demersum L.) u Petničkom jezeru,pdf/2014/BIO1405.pdf
Velemir Nenad,,,,,,BIO,7,2014,"Ispitivanje toksičnosti, citotoksičnosti i genotoksičnosti veštačkog zaslađivača aspartama metodom Allium testa",pdf/2014/BIO1406.pdf
Traparić Jovan,,,,,,BMD,5,2014,Ispitivanje antitumorske aktivnosti lignana na HepG2 i HeLa ćelije,pdf/2014/BMD1401.pdf
Sarafinovska Simona,,,,,,BMD,6,2014,Effect of Dichloroacetate on Inducing Apoptosis in HeLa Cells,pdf/2014/BMD1402.pdf
Petronijević Ana,,,,,,BMD,1,2014,Uticaj protein kinaze C na ekspresiju aktivnog oblika matriks metaloproteinaze u HeLa ćelijama,pdf/2014/BMD1403.pdf
Bižić Andrija,,,,,,BMD,1,2014,Ispitivanje uticaja prirodne selekcije i genetičkog drifta na pojavu rezistencije na antibiotike kod bakterija,pdf/2014/BMD1404.pdf
